sms_message,class,label,length
"Evening * v good if somewhat event laden. Will fill you in, don't you worry … Head * ok but throat * wrecked. See you at six then!",ham,0,130
I'll probably be around mu a lot,ham,0,32
ALRITE,ham,0,6
Lol I would but despite these cramps I like being a girl.,ham,0,57
Waiting 4 my tv show 2 start lor... U leh still busy doing ur report?,ham,0,69
What's up. Do you want me to come online?,ham,0,41
Yes when is the appt again?,ham,0,27
I walked an hour 2 c u! doesnt that show I care y wont u believe im serious?,ham,0,77
"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay.",ham,0,147
Going on nothing great.bye,ham,0,26
CERI U REBEL! SWEET DREAMZ ME LITTLE BUDDY!! C YA 2MORO! WHO NEEDS BLOKES,ham,0,73
"Aight, I'm chillin in a friend's room so text me when you're on the way",ham,0,71
yes baby! I need to stretch open your pussy!,ham,0,44
Do u noe wat time e place dat sells 4d closes?,ham,0,46
"Oh... Haha... Den we shld had went today too... Gee, nvm la... Kaiez, i dun mind goin jazz oso... Scared hiphop open cant catch up... ",ham,0,134
U meet other fren dun wan meet me ah... Muz b a guy rite...,ham,0,59
O ic lol. Should play 9 doors sometime yo,ham,0,41
"Dude. What's up. How Teresa. Hope you have been okay. When i didnt hear from these people, i called them and they had received the package since dec  &lt;#&gt; . Just thot you'ld like to know. Do have a fantastic year and all the best with your reading. Plus if you can really really Bam first aid for Usmle, then your work is done.",ham,0,332
Fine am simply sitting.,ham,0,23
Hi its Kate it was lovely to see you tonight and ill phone you tomorrow. I got to sing and a guy gave me his card! xxx,ham,0,118
Hows the champ just leaving glasgow!,ham,0,36
Ok. Every night take a warm bath drink a cup of milk and you'll see a work of magic. You still need to loose weight. Just so that you know,ham,0,138
"Time n Smile r the two crucial things in our life. Sometimes time makes us to forget smile, and sometimes someone's smile makes us to forget time gud noon",ham,0,154
Miserable. They don't tell u that the side effects of birth control are massive gut wrenching cramps for the first 2 months. I didn't sleep at all last night.,ham,0,158
"A cute thought for friendship: ""Its not necessary to share every secret with ur close Frnd, but watever u shared should be true""....",ham,0,132
Hi di is yijue we're meeting at 7 pm at esaplanade tonight.,ham,0,59
Then we wait 4 u lor... No need 2 feel bad lar...,ham,0,49
K..k.:)congratulation ..,ham,0,24
So how's the weather over there?,ham,0,32
"Aight, I'll text you when I'm back",ham,0,34
Sounds great! Are you home now?,ham,0,31
"Haha, that was the first person I was gonna ask",ham,0,47
"Chinatown got porridge, claypot rice, yam cake, fishhead beehoon... Either we eat cheap den go cafe n tok or go nydc or somethin...",ham,0,131
If you're thinking of lifting me one then no.,ham,0,45
Our Prasanth ettans mother passed away last night. Just pray for her and family.,ham,0,80
No de.am seeing in online shop so that i asked.,ham,0,47
